"filename", "language", "C#", "JSON", "XML", "SQL", "Properties", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\ASG后端.xml", "XML", 0, 0, 725, 0, 0, 0, 1, 726
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\PubTmp\Out\ASG后端.deps.json", "JSON", 0, 2210, 0, 0, 0, 0, 0, 2210
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\PubTmp\Out\ASG后端.runtimeconfig.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\PubTmp\Out\ASG后端.xml", "XML", 0, 0, 716, 0, 0, 0, 1, 717
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\PubTmp\Out\System.Reactive.xml", "XML", 0, 0, 26493, 0, 0, 0, 3, 26496
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\PubTmp\Out\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\PubTmp\Out\appsettings.json", "JSON", 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\asg_form.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 10, 5, 24
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\asg_form.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\asg_form.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 1, 1, 18
